1,"No manches, qué padre estuvo eso",positive,tiktok,high
2,"Me dio un buen de coraje lo que pasó",negative,twitter,high
3,"Está bien, nada especial la verdad",neutral,manual,low
4,"Qué chido se sintió todo el día",positive,tiktok,medium
5,"No me gustó para nada el servicio",negative,review,high
6,"Más o menos, pudo haber estado mejor",neutral,manual,medium
7,"Estoy bien feliz con el resultado",positive,manual,high
8,"Qué flojera ir a ese lugar",negative,tiktok,medium
9,"Ahí va, no es la gran cosa",neutral,twitter,low
10,"Me encantó totalmente, estuvo increíble",positive,review,high
11,"No manches qué coraje me dio eso",negative,tiktok,high
12,"Todo estuvo normal, sin problema",neutral,manual,low
13,"Qué padre vibe tenía el lugar",positive,tiktok,medium
14,"Me molesta un buen esa situación",negative,twitter,high
15,"Está ok, ni bien ni mal",neutral,manual,low
16,"Estoy súper contenta con todo",positive,manual,high
17,"Qué mal plan lo que hicieron",negative,tiktok,medium
18,"Pues estuvo decente, nada más",neutral,review,low
19,"Qué bonito día la verdad",positive,twitter,medium
20,"Ya me harté de esto",negative,tiktok,high
21,"Todo tranquilo, sin novedad",neutral,manual,low
22,"Me fascinó la experiencia",positive,review,high
23,"Qué asco de servicio",negative,tiktok,high
24,"No estuvo ni bueno ni malo",neutral,manual,low
25,"Estoy agradecida por todo",positive,manual,medium
26,"Qué coraje con esa persona",negative,twitter,high
27,"Ahí se va, todo normal",neutral,manual,low
28,"Me encantó la comida",positive,review,medium
29,"No me gustó el ambiente",negative,tiktok,medium
30,"Está bien, aceptable",neutral,manual,low
31,"Qué emoción por lo que viene",positive,twitter,high
32,"Me siento frustrada con esto",negative,manual,high
33,"Todo está más o menos",neutral,manual,low
34,"Qué increíble estuvo todo",positive,tiktok,high
35,"No soporto esta situación",negative,twitter,high
36,"Pues está pasable",neutral,manual,low
37,"Me gustó bastante",positive,review,medium
38,"Qué mal servicio la verdad",negative,tiktok,high
39,"No es ni bueno ni malo",neutral,manual,low
40,"Estoy muy feliz hoy",positive,manual,high
41,"Qué fastidio todo esto",negative,twitter,medium
42,"Está regular, sin más",neutral,manual,low
43,"Me encantó ver eso",positive,tiktok,medium
44,"Qué decepción de lugar",negative,review,high
45,"Todo normal hasta ahora",neutral,manual,low
46,"Estoy emocionada por esto",positive,twitter,high
47,"Qué enojo me dio eso",negative,tiktok,high
48,"No pasa nada especial",neutral,manual,low
49,"Me gustó el ambiente",positive,review,medium
50,"Ya me cansé de esto",negative,twitter,high


